CD_ESTACAO;DT_MEDICAO;HR_MEDICAO;CHUVA
A803;2020-12-31;200;0,6
A803;2020-12-31;300;3,2
A803;2020-12-31;400;0,2
A803;2020-12-31;500;0
A803;2020-12-31;600;0
A803;2020-12-31;700;0
A803;2020-12-31;800;0
A803;2020-12-31;900;0
A803;2020-12-31;1000;0
A803;2020-12-31;1100;0
A803;2020-12-31;1400;0
A803;2020-12-31;1500;0
A803;2020-12-31;1600;0
A803;2020-12-31;1700;0
A803;2020-12-31;1800;0
A803;2020-12-31;1900;0
A803;2020-12-31;2000;0
A803;2020-12-30;0;0
A803;2020-12-30;200;0
A803;2020-12-30;300;0
A803;2020-12-30;500;0
A803;2020-12-30;600;0
A803;2020-12-30;700;0
A803;2020-12-30;900;0
A803;2020-12-30;1000;0
A803;2020-12-30;1400;0
A803;2020-12-30;1600;0
A803;2020-12-30;1700;0
A803;2020-12-30;2100;0
A803;2020-12-30;2200;0
A803;2020-12-30;2300;0
A803;2020-12-29;100;0
A803;2020-12-29;200;0
A803;2020-12-29;300;0
A803;2020-12-29;400;0
A803;2020-12-29;600;0
A803;2020-12-29;900;0
A803;2020-12-29;1000;0
A803;2020-12-29;1300;0
A803;2020-12-29;1500;0
A803;2020-12-29;1600;0
A803;2020-12-29;1800;0
A803;2020-12-29;2100;0
A803;2020-12-29;2200;0
A803;2020-12-28;0;0
A803;2020-12-28;300;0
A803;2020-12-28;400;0
A803;2020-12-28;500;0
A803;2020-12-28;600;0
A803;2020-12-28;700;0
A803;2020-12-28;900;0
A803;2020-12-28;1100;0
A803;2020-12-28;1200;0
A803;2020-12-28;1300;0
A803;2020-12-28;1400;0
A803;2020-12-28;1500;0
A803;2020-12-28;1700;0
A803;2020-12-28;1800;0
A803;2020-12-28;2100;0
A803;2020-12-28;2200;0
A803;2020-12-27;200;0
A803;2020-12-27;300;0
A803;2020-12-27;400;0
A803;2020-12-27;800;0
A803;2020-12-27;900;0
A803;2020-12-27;1000;0
A803;2020-12-27;1100;0
A803;2020-12-27;1800;0
A803;2020-12-27;1900;0
A803;2020-12-27;2100;0
A803;2020-12-27;2300;0
A803;2020-12-26;0;0
A803;2020-12-26;100;0
A803;2020-12-26;300;0
A803;2020-12-26;400;0
A803;2020-12-26;600;0
A803;2020-12-26;700;0
A803;2020-12-26;900;0
A803;2020-12-26;1000;0
A803;2020-12-26;1100;0
A803;2020-12-26;1200;0
A803;2020-12-26;1400;0
A803;2020-12-26;1500;0
A803;2020-12-26;1700;0
A803;2020-12-26;1800;0
A803;2020-12-26;2000;0
A803;2020-12-26;2100;0
A803;2020-12-26;2300;0
A803;2020-12-25;200;0
A803;2020-12-25;300;0
A803;2020-12-25;500;0
A803;2020-12-25;800;0
A803;2020-12-25;900;0
A803;2020-12-25;1000;0
A803;2020-12-25;1300;0
A803;2020-12-25;1400;0
A803;2020-12-25;1900;0
A803;2020-12-25;2000;0
A803;2020-12-25;2100;0
A803;2020-12-25;2200;0
A803;2020-12-25;2300;0
A803;2020-12-24;0;0
A803;2020-12-24;100;0
A803;2020-12-24;400;0
A803;2020-12-24;500;0
A803;2020-12-24;700;0
A803;2020-12-24;800;0
A803;2020-12-24;900;0
A803;2020-12-24;1000;0
A803;2020-12-24;1100;0
A803;2020-12-24;1500;0
A803;2020-12-24;1600;0
A803;2020-12-24;1800;0
A803;2020-12-24;1900;0
A803;2020-12-24;2200;0
A803;2020-12-24;2300;0
A803;2020-12-23;0;0
A803;2020-12-23;200;0
A803;2020-12-23;500;0
A803;2020-12-23;800;0
A803;2020-12-23;900;0
A803;2020-12-23;1000;0
A803;2020-12-23;1100;0
A803;2020-12-23;1200;0
A803;2020-12-23;1300;0
A803;2020-12-23;1400;0
A803;2020-12-23;1600;0
A803;2020-12-23;1800;0
A803;2020-12-23;1900;0
A803;2020-12-23;2000;0
A803;2020-12-23;2300;0
A803;2020-12-22;0;0
A803;2020-12-22;100;0
A803;2020-12-22;200;0
A803;2020-12-22;300;0
A803;2020-12-22;400;0
A803;2020-12-22;600;0
A803;2020-12-22;700;0
A803;2020-12-22;800;0
