,Trimestre,Leituras
0,2011/1,233.6
1,2011/2,216.4
2,2011/3,82.6
3,2011/4,191.4
4,2012/1,238.0
5,2012/2,155.4
6,2012/3,179.8
7,2012/4,438.6
8,2013/1,332.2
9,2013/2,264.8
10,2013/3,280.8
11,2013/4,332.4
12,2014/1,289.4
13,2014/2,351.8
14,2014/3,264.6
15,2014/4,399.6
16,2015/1,258.2
17,2015/2,260.8
18,2015/3,317.2
19,2015/4,580.8
20,2016/1,313.4
21,2016/2,167.6
22,2016/3,193.2
23,2016/4,466.8
24,2017/1,404.8
25,2017/2,371.0
26,2017/3,285.0
27,2017/4,274.2
28,2018/1,290.8
29,2018/2,132.4
30,2018/3,293.4
31,2018/4,355.2
32,2019/1,271.0
33,2019/2,259.4
34,2019/3,194.8
35,2019/4,405.0
36,2020/1,227.0
37,2020/2,201.2
38,2020/3,157.8
39,2020/4,30.8
