Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
ARG;5-bank asset concentration;GFDD.OI.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46,94664001;61,80905151;68,09539032;76,29881287;74,67002106;70,84918213;65,38059998;66,8530426;64,57633972;64,97693634;65,25691986;66,31285095;67,88639069;69,04704285;69,89420319;78,0682373
ARG;Account at a formal financial institution (% age 15+);GFDD.AI.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33,13021851;;
ARG;Account used for business purposes (% age 15+);GFDD.AI.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,341284037;;
ARG;Account used to receive government payments (% age 15+);GFDD.AI.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,34638977;;
ARG;Account used to receive remittances (% age 15+);GFDD.AI.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,647434115;;
ARG;Account used to receive wages (% age 15+);GFDD.AI.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,83745003;;
ARG;ATMs per 100,000 adults;GFDD.AI.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21,78251839;22,90072441;25,51902771;28,66643143;33,14157104;37,12462616;42,22138977;47,91404343;51,37248993;57,38751984
ARG;Bank accounts per 1,000 adults;GFDD.AI.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;470,573761;507,4296265;548,5303345;608,9256592;622,7324219;681,6181641;699,3703003;725,1025391;806,6320801;787,8773193
ARG;Bank branches per 100,000 adults;GFDD.AI.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,44103527;13,23613358;13,23093319;13,1816988;13,11741257;12,99895954;13,02315235;13,15217209;13,25367737;13,44687939
ARG;Bank capital to total assets (%);GFDD.SI.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,30000019;10,60000038;;;;11,89999962;11,80000019;12,89999962;13,5;13,10000038;11,93299961;12,47700024;11,27799988;11,15799999;11,49600029;12,12100029
