Country Name;Country Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
Afghanistan;AFG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;231.9725285;241.6213179;234.9966251;252.4078925;258.4186922;285.9170914;288.7581997;340.9314267;360.7056152;373.4516771;417.0550423;415.0034777
Albania;ALB;;;;;;;;;;;;;;;;;;;;;1853.022363;1920.632636;1935.9178;1916.233346;1852.853982;1847.469674;1914.24934;1861.617123;1800.881449;1925.567588;1710.13691;1211.40504;1131.022032;1247.186886;1359.020605;1549.310999;1700.836411;1536.933545;1743.059331;1931.301612;2085.536671;2252.565009;2324.850636;2466.578563;2623.046356;2781.510727;2939.071105;3136.090047;3398.412855;3536.153569;3685.487144;3790.018085;3857.25457;3916.144766
Algeria;DZA;1765.594712;1488.05125;1166.444702;1529.072727;1578.458614;1633.388046;1513.21692;1610.405663;1734.099846;1827.72471;1934.988538;1669.430095;2070.523266;2092.324833;2188.83344;2236.594535;2357.244843;2411.946267;2559.188899;2669.84791;2609.362426;2603.590289;2681.825676;2736.1647;2798.443863;2813.462018;2741.68267;2645.357221;2547.48332;2589.72981;2544.478212;2452.814572;2438.793347;2334.802418;2265.893267;2306.850213;2358.806235;2345.439426;2427.068307;2468.227383;2487.286033;2567.150874;2675.725212;2830.965084;2912.290298;3038.748713;3041.480757;3092.039129;3098.409819;3091.058258;3143.629137;3171.735083;3215.206987;3243.990093
Andorra;ADO;;;;;;;;;;;28806.2106;28634.73214;29434.48045;30222.16024;30532.67559;29506.52659;29450.3213;29373.14536;28940.03516;28059.85738;27690.31432;26592.52782;25815.69862;25147.48489;24492.2152;23997.03605;23756.05137;24068.45392;24304.98521;24497.90868;24462.54131;24127.95881;23430.23035;22390.67451;22301.34342;22504.65947;23397.17304;25592.01579;26530.08602;27494.75247;27255.99136;29298.84421;29444.24669;29769.18485;30329.58991;31268.96674;33125.38679;33840.22479;35628.4107;;;;;
Angola;AGO;;;;;;;;;;;;;;;;;;;;;;;;;;1504.551515;1504.026912;1582.050124;1630.228953;1595.538059;1547.232021;1482.905559;1336.66449;973.814281;976.0330784;1045.359272;1130.046308;1186.963069;1234.330268;1239.131789;1238.476496;1249.44594;1374.252515;1396.235666;1494.297297;1706.543621;1990.8409;2359.279962;2597.055971;2573.687194;2576.646856;2593.843498;2643.720551;2737.877052
Antigua and Barbuda;ATG;;;;;;;;;;;;;;;;;;3891.482178;4037.918715;4331.681557;4720.854238;4952.456649;5018.299822;5329.75589;5945.397357;6529.732872;7490.040706;8252.14377;8831.154967;9427.040357;9676.493637;9793.500282;9717.443878;10014.82706;10379.39413;9684.082573;10057.74556;10258.95887;10426.20662;10593.96129;10897.77797;10372.80666;10534.99467;11037.45641;11505.18553;12079.86548;13547.71159;14671.13355;14517.80518;12629.71356;11602.14202;11275.27996;11607.74514;11481.38499
Argentina;ARG;3732.330981;3871.977071;3778.406097;3522.337065;3820.330238;4161.616376;4074.74652;4145.686613;4284.390074;4630.764934;4698.99485;4884.984546;4881.375051;4933.143974;5118.601775;5033.941752;4855.354103;5113.652406;4811.06204;5224.720963;5360.610211;4979.475104;4660.973154;4768.177581;4800.067651;4369.546427;4643.877835;4708.969156;4522.214511;4123.76176;3968.768145;4410.718568;4871.757278;5092.509085;5321.186561;5105.401225;5321.72873;5684.591029;5835.0276;5574.923919;5472.709088;5179.454263;4571.737221;4930.813433;5328.56013;5767.657012;6195.384942;;;;;;;
Armenia;ARM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1146.300404;1021.631804;605.3481533;565.1556575;610.1099199;665.7183718;715.8136335;748.0185474;808.9908342;840.8569947;895.5977146;986.361483;1121.173903;1283.215543;1422.403624;1625.396904;1847.273054;2110.415004;2265.424536;1950.983276;1997.038912;2090.459569;2237.228245;2309.7085
Aruba;ABW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23086.93795;22319.24564;23233.5367;24129.27497;23896.33702;24490.1458;23902.92089;22873.00011;22471.19096;23657.83912;23517.57361;23302.83199;23662.63565;22710.23914;21121.3952;19912.75666;;;;
Australia;AUS;13510.59026;13555.78807;13397.88538;13959.91174;14643.58807;15218.07461;15226.39657;15982.16087;16502.41808;17299.86709;18177.95203;18278.13305;18647.2879;18841.53587;19122.96368;19141.59776;19441.42515;19917.00608;19863.28155;20446.27066;20814.8754;21175.19237;21516.52519;20775.1402;21492.00661;22313.06532;22847.91834;23084.74674;24026.5318;24543.65081;25036.53715;24614.15879;24415.55274;25148.73961;25890.4297;26572.34311;27260.70982;28020.49687;28958.6516;30062.3829;30856.30978;31030.19405;31837.93654;32415.8175;33374.0343;33995.85167;34499.83082;35574.15456;36159.26474;36035.07173;36175.03041;36504.17394;37218.08169;37491.50668
