;Country Name;Country Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
745;Argentina;ARG;;;24450604878,0;18272123664,0;25605249382,0;28344705968,0;28630474726,0;24256667555,0;26436857248,0;31256284545,0;31584210365,0;33293199095,0;34733000536,0;52544000117,0;72436777342,0;52438647922,0;51169499891,0;56781000101,0;58082870156,0;69252328953,0;76961923742,0;78676842366,0;84307486837,0;103979000000,0;79092001998,0;88416668900,0;110934000000,0;111106000000,0;126207000000,0;76636898036,0;141352000000,0;189720000000,0;228779000000,0;236754000000,0;257440000000,0;258032000000,0;272150000000,0;292859000000,0;298948000000,0;283523000000,0;284204000000,0;268697000000,0;102040000000,0;129597000000,0;183296000000,0;222908000000,0;264490000000,0;329761000000,0;406004000000,0;378496000000,0;462704000000,0;557727000000,0;603153000000,0;609889000000,0
2585;Bolivia;BOL;563110051,9;612518906,8;669722541,3;721142957,3;812543072,5;908874537,0;994044553,9;1084059815,0;908874537,0;964615698,7;1017171717,0;1095454545,0;1257615645,0;1263018491,0;2100249875,0;2404697651,0;2732083958,0;3227436282,0;3758220890,0;4421343606,0;4537487843,0;5891606676,0;5594118400,0;5422656262,0;6169481549,0;5377277407,0;3959379488,0;4347956299,0;4597615563,0;4715978868,0;4867582620,0;5343259389,0;5643864408,0;5734703452,0;5981218997,0;6715164551,0;7396952081,0;7925733786,0;8497499333,0;8285061618,0;8397858185,0;8141513292,0;7905485216,0;8082396526,0;8773451739,0;9549196256,0;11451845341,0;13120183157,0;16674324634,0;17339992165,0;19649631308,0;23948541156,0;27035110130,0;30601157742,0
2930;Brazil;BRA;15165569913,0;15236854859,0;19926293839,0;23021477292,0;21211892260,0;21790035102,0;27062716511,0;30591834045,0;33875881906,0;37458898265,0;42327600116,0;49204456712,0;58539008796,0;79279057736,0;105136000000,0;123709000000,0;152678000000,0;176171000000,0;200801000000,0;224969000000,0;235025000000,0;263561000000,0;281682000000,0;203305000000,0;209024000000,0;222943000000,0;268137000000,0;294084000000,0;330397000000,0;425595000000,0;461952000000,0;407338000000,0;390567000000,0;438300000000,0;546233000000,0;768951000000,0;839683000000,0;871200000000,0;843827000000,0;586863000000,0;644702000000,0;553582000000,0;504221000000,0;552469000000,0;663760000000,0;882186000000,0;1088920000000,0;1366820000000,0;1653510000000,0;1620190000000,0;2143070000000,0;2476690000000,0;2248780000000,0;2245670000000,0
4310;Chile;CHL;4211762522,0;4705377500,0;5502763243,0;5482749434,0;5794301527,0;6053790468,0;7013580346,0;6913560997,0;7074820186,0;8179771226,0;8981111664,0;10694569522,0;11532517864,0;16387454417,0;15535549706,0;7226476865,0;9857547849,0;13359145454,0;15399431310,0;20729772211,0;27572307600,0;32644872980,0;24339421605,0;19770402077,0;19232737055,0;16486012247,0;17722536671,0;20902096532,0;24640912616,0;28385038397,0;31558927517,0;36424168146,0;44467946384,0;47693992627,0;55154226760,0;71349202309,0;75769008174,0;82808986192,0;79373597080,0;72995286764,0;79328640264,0;72336972322,0;70984568429,0;77840186385,0;100631000000,0;124404000000,0;154671000000,0;173006000000,0;179858000000,0;172323000000,0;217502000000,0;251162000000,0;266259000000,0;277199000000,0
4540;Colombia;COL;4040948305,0;4552914130,0;4968598031,0;4838841456,0;5992169467,0;5790247619,0;5452762963,0;5727208180,0;5918467519,0;6405440200,0;7198373469,0;7820367893,0;8671371951,0;10315774588,0;12370045405,0;13098633902,0;15341403660,0;19470978268,0;23263511958,0;27940389361,0;33400712095,0;36388389129,0;38968019453,0;38729822782,0;38253120738,0;34894419525,0;34942483688,0;36373312083,0;39212545681,0;39540083646,0;40274204595,0;41239551378,0;49279585355,0;55802540101,0;81703496604,0;92507277798,0;97160111573,0;106660000000,0;98443743191,0;86186156584,0;99886577576,0;98203544965,0;97933392356,0;94684582573,0;117075000000,0;146520000000,0;162774000000,0;207520000000,0;244057000000,0;233822000000,0;287018000000,0;335415000000,0;370328000000,0;378415000000,0
6380;Ecuador;ECU;1010325138,0;979108806,8;958598195,0;1038389642,0;1156150890,0;2387048255,0;2429309514,0;2553596092,0;2582180794,0;3112166848,0;2862504170,0;2754220263,0;3185987235,0;3891755552,0;6599259421,0;7731677257,0;9091924305,0;11026346590,0;11922502171,0;14175166008,0;17881514683,0;21810767209,0;19929853575,0;17152483214,0;16912515183,0;17149094590,0;15314143988,0;13945431882,0;13051886552,0;13890828708,0;15239278100,0;16988184456,0;18093864475,0;18938326276,0;22708204405,0;24432379906,0;25225872274,0;28161471483,0;27981319125,0;19644866963,0;18327386416,0;24468324000,0;28548945000,0;32432859000,0;36591661000,0;41507085000,0;46802044000,0;51007777000,0;61762635000,0;62519686000,0;69555367000,0;79276664000,0;87623411000,0;94472679000,0
9140;Guyana;GUY;170216238,9;185849532,9;194949510,0;175757891,6;194774510,5;213235288,1;228705875,9;250176463,6;229750000,0;249300000,0;267800000,0;282050000,0;285380965,3;307047633,0;433954536,0;494791647,0;454440000,0;449880000,0;507080000,0;530440000,0;603200000,0;570357116,9;482000000,0;489333333,3;437631610,8;453488352,0;504651117,2;354591840,0;413799990,0;379779379,1;396582263,3;336708410,3;368281383,4;442273443,5;540874922,3;621626785,9;705406032,1;749138004,4;717530696,6;694754984,0;712667925,3;696281468,8;722460911,8;741929342,8;785918769,6;824880550,3;1458449058,0;1740334782,0;1922598121,0;2025565089,0;2259288396,0;2576602497,0;2851154076,0;2990128821,0
17765;Paraguay;PRY;;;;;;400129691,1;421700441,8;451524124,5;477012512,7;512728946,2;548758098,3;609047285,3;697291727,5;889357059,7;1199618980,0;1351889403,0;1540820246,0;1912353340,0;2350329157,0;3135123880,0;4094810488,0;5219516810,0;5067450002,0;5237432542,0;4067222420,0;2966234024,0;3439716399,0;3778316380,0;4082625953,0;4599970618,0;5695201563,0;6984367763,0;7157424031,0;7249533620,0;7870982171,0;9062131308,0;9788391733,0;9965225497,0;9024567484,0;8392549702,0;8195993231,0;7662595076,0;6325151760,0;6588103836,0;8033877360,0;8734651406,0;10662013273,0;13794909537,0;18504128632,0;15929903100,0;20030529733,0;25071193102,0;24611040343,0;29009411738,0
17880;Peru;PER;2503708501,0;2822764382,0;3199617471,0;3505470788,0;4241381119,0;5026099956,0;5947054339,0;6029751897,0;5583979280,0;6250645607,0;7235141852,0;8069766829,0;8945736420,0;10702842298,0;13490954944,0;16413418809,0;15519319139,0;14230997983,0;12162093075,0;15542640785,0;17655611231,0;21074067087,0;21216509116,0;16885668786,0;17132968269,0;16110000407,0;14840000375,0;20153333842,0;15029999286,0;21902935996,0;25710059622,0;33988660232,0;35310819276,0;34239590087,0;43719805475,0;52047686603,0;53997715380,0;56919424254,0;54523307700,0;49308109292,0;50936239281,0;51592179796,0;54452491887,0;59034091562,0;66730306800,0;74963815413,0;87985689388,0;102172000000,0;121572000000,0;121200000000,0;148523000000,0;170564000000,0;192628000000,0;202350000000,0
21330;Suriname;SUR;93850000,0;98400000,0;103500000,0;110000000,0;120850000,0;138650000,0;171100000,0;198450000,0;220600000,0;233450000,0;247150000,0;270650000,0;287600000,0;305300000,0;368600000,0;465000000,0;505500000,0;641000000,0;735500000,0;783000000,0;794900000,0;889050000,0;915150000,0;883600000,0;864150000,0;873250000,0;891000000,0;979850000,0;1160900000,0;542520000,0;388300000,0;448300000,0;404600000,0;428794117,6;605492537,3;693970588,2;860630922,7;929607500,0;945000000,0;885444186,0;892164393,9;763465550,5;1078402128,0;1271196078,0;1484092538,0;1793557833,0;2626093294,0;2936612022,0;3532969035,0;3875409836,0;4368398048,0;4423194614,0;5013030303,0;5298787879,0
23860;Uruguay;URY;1243993170,0;1549623550,0;1709221318,0;1538971681,0;1974511146,0;1889185075,0;1808775748,0;1598149807,0;1593701209,0;2004342742,0;2137241935,0;2807342742,0;2189502775,0;3964295673,0;4090252474,0;3538292267,0;3667161241,0;4114664911,0;4910255623,0;7181180175,0;10163020116,0;11048335541,0;9178802451,0;5102281489,0;4850241442,0;4732017873,0;5880112947,0;7367494222,0;8213515459,0;8438951476,0;9298839655,0;11206193313,0;12878157306,0;15002144584,0;17474578502,0;19297663097,0;20515465834,0;23969746851,0;25385928196,0;23983945191,0;22823255806,0;20898788420,0;13606494599,0;12045627411,0;13686333822,0;17362872704,0;19579479148,0;23410536927,0;30366148181,0;30461322498,0;38881102100,0;47236710628,0;50004354647,0;55707944622,0
24205;Venezuela, RB;VEN;8607600069,0;8923366628,0;9873397859,0;10663375514,0;9113580696,0;9602944668,0;10096574670,0;10472776744,0;11470909285,0;11927570677,0;12993115056,0;14471557938,0;15922867181,0;19445932860,0;29087099933,0;31413164179,0;36272315695,0;42337056975,0;46507640231,0;55750554789,0;67135122864,0;75498829319,0;76693647866,0;78586503426,0;55952339080,0;57935742247,0;58915108094,0;45343793676,0;58428404474,0;42142303739,0;47027508385,0;51734363024,0;58470358476,0;58107555298,0;56529904239,0;74888742184,0;68258588863,0;85837385779,0;91338542542,0;97974136437,0;117148000000,0;122910000000,0;92889586976,0;83622191419,0;112451000000,0;145513000000,0;183478000000,0;230364000000,0;315600000000,0;329419000000,0;393802000000,0;316482000000,0;381286000000,0;438284000000,0
