index;Country Code;Short Name;Table Name;Long Name;2-alpha code;Currency Unit;Special Notes;Region;Income Group;WB-2 code;National accounts base year;National accounts reference year;SNA price valuation;Lending category;Other groups;System of National Accounts;Alternative conversion factor;PPP survey year;Balance of Payments Manual in use;External debt Reporting status;System of trade;Government Accounting concept;IMF data dissemination standard;Latest population census;Latest household survey;Source of most recent Income and expenditure data;Vital registration complete;Latest agricultural census;Latest industrial data;Latest trade data;Latest water withdrawal data
0;AFG;Afghanistan;Afghanistan;Islamic State of Afghanistan;AF;Afghan afghani;"Fiscal year end: March 20; reporting period for national accounts data: FY (from 2013 are CY). National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.";South Asia;"Low income; based on FY13 income classifications.";AF;2002/03;;Value added at basic prices (VAB);IDA;HIPC;Country uses the 1993 System of National Accounts methodology.;;;;Actual;General trade system;Consolidated central government;General Data Dissemination System (GDDS);1979;Multiple Indicator Cluster Survey (MICS), 2010/11;Integrated household survey (IHS), 2008;;2013/14;;2013;2000
1;ALB;Albania;Albania;Republic of Albania;AL;Albanian lek;;Europe & Central Asia;"Lower middle income; based on FY13 income classifications.";AL;Original chained constant price data are rescaled.;1996;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2011;Demographic and Health Survey (DHS), 2008/09;Living Standards Measurement Study Survey (LSMS), 2011/12;Yes;2012;2011;2013;2006
2;DZA;Algeria;Algeria;People's Democratic Republic of Algeria;DZ;Algerian dinar;;Middle East & North Africa;"Upper middle income; based on FY13 income classifications.";DZ;1980;;Value added at basic prices (VAB);IBRD;;Country uses the 1968 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Budgetary central government;General Data Dissemination System (GDDS);2008;Multiple Indicator Cluster Survey (MICS), 2012;Integrated household survey (IHS), 1995;;;2010;2013;2001
3;ADO;Andorra;Andorra;Principality of Andorra;AD;Euro;;Europe & Central Asia;"High income: nonOECD; based on FY13 income classifications.";AD;1990;;Value added at basic prices (VAB);;;Country uses the 1968 System of National Accounts methodology.;;;;;Special trade system;;;2011. Population data compiled from administrative registers.;;;Yes;;;2006;
4;AGO;Angola;Angola;People's Republic of Angola;AO;Angolan kwanza;"April 2013 database update: Based on IMF data, national accounts data were revised for 2000 onward; the base year changed to 2002.";Sub-Saharan Africa;"Upper middle income; based on FY13 income classifications.";AO;2002;;Value added at producer prices (VAP);IBRD;;Country uses the 1993 System of National Accounts methodology.;1991–96;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Budgetary central government;General Data Dissemination System (GDDS);2014;Malaria Indicator Survey (MIS), 2011;Integrated household survey (IHS), 2008/09;;2015;;;2005
5;ATG;Antigua and Barbuda;Antigua and Barbuda;Antigua and Barbuda;AG;East Caribbean dollar;"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.";Latin America & Caribbean;"Upper middle income; based on FY13 income classifications.";AG;2006;;Value added at basic prices (VAB);IBRD;;Country uses the 1968 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2011;;;Yes;2007;;2013;2005
6;ARG;Argentina;Argentina;Argentine Republic;AR;Argentine peso;The base year has changed to 2004.;Latin America & Caribbean;"Upper middle income; based on FY13 income classifications.";AR;2004;;Value added at basic prices (VAB);IBRD;;Country uses the 2008 System of National Accounts methodology.;1971–84;;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2010;Multiple Indicator Cluster Survey (MICS), 2011/12;Integrated household survey (IHS), 2012;Yes;2013;2002;2013;2011
7;ARM;Armenia;Armenia;Republic of Armenia;AM;Armenian dram;;Europe & Central Asia;"Lower middle income; based on FY13 income classifications.";AM;Original chained constant price data are rescaled.;1996;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;1990–95;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;Demographic and Health Survey (DHS), 2010;Integrated household survey (IHS), 2012;Yes;2013/14;2008;2013;2012
8;ABW;Aruba;Aruba;Aruba;AW;Aruban florin;"SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000.";Latin America & Caribbean;"High income: nonOECD; based on FY13 income classifications.";AW;2000;;Value added at basic prices (VAB);;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;;Special trade system;;;2010;;;Yes;;;2012;
9;AUS;Australia;Australia;Commonwealth of Australia;AU;Australian dollar;"Fiscal year end: June 30; reporting period for national accounts data: FY. Value added current series updated by the Australian Bureau of Statistics; data revised from 1990 onward; Australia reports using SNA 2008.";East Asia & Pacific;"High income: OECD; based on FY13 income classifications.";AU;Original chained constant price data are rescaled.;2012/13;Value added at basic prices (VAB);;;Country uses the 2008 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;;Expenditure survey/budget survey (ES/BS), 2003;Yes;2011;2011;2013;2000
10;AUT;Austria;Austria;Republic of Austria;AT;Euro;A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.;Europe & Central Asia;"High income: OECD; based on FY13 income classifications.";AT;Original chained constant price data are rescaled.;2005;Value added at basic prices (VAB);;Euro area;Country uses the 2008 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011. Population data compiled from administrative registers.;;Integrated household survey (IHS), 2004;Yes;2010;2010;2013;2002
