index;Country Name;Country Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
746;Argentina;ARG;3732.330981;3871.977071;3778.406097;3522.337065;3820.330238;4161.616376;4074.74652;4145.686613;4284.390074;4630.764934;4698.99485;4884.984546;4881.375051;4933.143974;5118.601775;5033.941752;4855.354103;5113.652406;4811.06204;5224.720963;5360.610211;4979.475104;4660.973154;4768.177581;4800.067651;4369.546427;4643.877835;4708.969156;4522.214511;4123.76176;3968.768145;4410.718568;4871.757278;5092.509085;5321.186561;5105.401225;5321.72873;5684.591029;5835.0276;5574.923919;5472.709088;5179.454263;4571.737221;4930.813433;5328.56013;5767.657012;6195.384942;;;;;;;
2586;Bolivia;BOL;874.2862486;872.908987;901.2483892;937.8832829;960.923122;992.1208463;1032.602183;1078.703839;925.5566158;931.8841936;905.2645124;928.19451;977.7416325;1008.579126;1012.968145;1060.86216;1083.434306;1110.535762;1106.857874;1082.51319;1042.780124;1021.266051;958.166327;898.0043301;875.3236547;840.6137423;799.9500865;800.654288;804.8497529;815.9431784;833.8648672;857.2527975;850.9930116;866.7069386;886.3714528;906.9871117;925.7395777;950.7095634;977.4891373;961.3509122;965.4074983;961.9829159;966.4637254;973.5739743;995.3472435;1020.790305;1051.471756;1081.392031;1129.480693;1148.787508;1176.974475;1217.746318;1259.813782;1323.124571
2931;Brazil;BRA;1726.566347;1847.818993;1886.379547;1846.578943;1855.630343;1858.753725;1883.606769;1924.474552;2089.824905;2236.207121;2372.806207;2577.296431;2819.616694;3138.547143;3342.528705;3434.552877;3682.718027;3762.477093;3793.600059;3956.179;4216.76552;3938.644025;3870.956664;3654.982009;3763.654421;3977.449504;4208.662014;4275.757559;4191.973985;4252.147296;3999.429014;3993.057042;3911.570921;4031.129036;4181.664946;4300.069777;4325.679012;4403.812072;4339.170424;4286.172733;4406.713243;4402.511201;4458.333914;4450.926292;4647.527247;4739.305437;4874.601481;5121.02886;5336.079146;5271.138037;5618.3246;5721.289504;5730.249146;5823.043784
4311;Chile;CHL;2479.185118;2514.911146;2579.127548;2669.11985;2674.522068;2623.912487;2823.160961;2864.916365;2913.118295;2956.338781;2962.916852;3171.693937;3090.521995;2888.124577;2912.321979;2541.749921;2590.083934;2776.165254;2942.599232;3153.747052;3361.639141;3467.957264;3061.445049;2898.221009;3078.14393;3242.820594;3367.445323;3529.513053;3723.493048;4045.688342;4121.338287;4369.60298;4816.611571;5060.12073;5256.19318;5720.016605;6050.950941;6359.509186;6477.886043;6347.269394;6551.573086;6690.88591;6757.989701;6948.026396;7289.117742;7614.522058;7869.604222;8194.138629;8382.314885;8217.059194;8610.022043;9029.733681;9430.496585;9728.481224
4541;Colombia;COL;1452.070326;1483.790202;1519.085708;1517.514059;1570.606042;1571.124172;1607.141781;1626.743664;1682.951075;1744.391441;1817.707719;1878.757553;1975.600145;2060.638335;2129.919741;2128.471329;2180.002107;2218.308723;2350.807213;2420.801912;2463.093257;2462.557476;2430.915041;2415.435852;2442.646196;2464.625184;2554.033748;2635.931804;2687.541605;2724.213782;2832.465803;2841.485304;2928.358041;2942.179396;3057.09264;3158.23402;3165.840112;3216.965713;3179.369267;2994.002553;3074.317626;3074.983417;3101.68674;3172.741285;3290.427523;3392.924413;3565.886389;3755.671308;3832.49512;3840.544637;3937.867201;4140.82909;4251.987225;4394.066614
6381;Ecuador;ECU;1593.158191;1572.4319;1597.720999;1612.523159;1688.907898;1717.998242;1663.098192;1690.074266;1673.074714;1701.329063;1766.809191;1825.265442;1863.476896;2064.855792;2233.565847;2411.6406;2520.766256;2493.459137;2566.835563;2593.939532;2621.594156;2699.202052;2648.501318;2574.759665;2577.685267;2613.563208;2637.906458;2566.800761;2652.130797;2614.87296;2647.702551;2698.149216;2693.443927;2686.227318;2740.146347;2742.358167;2731.587744;2791.325117;2824.300139;2636.899266;2613.347141;2665.590163;2721.731377;2743.256945;2913.809095;3012.752437;3090.15946;3103.636773;3245.438512;3209.850899;3268.81379;3469.253651;3592.448131;3700.526148
9141;Guyana;GUY;769.5516028;783.7076897;771.3561226;658.9762801;714.7023523;769.3836163;788.194784;800.4951731;788.582068;825.5084219;845.7606261;861.2673271;825.8769344;831.473436;890.774384;960.0251173;966.5659376;932.0425595;906.7794689;884.1816667;897.0706387;911.9771939;795.8580426;747.6958351;716.5851202;740.4770715;740.2952079;753.3777032;731.2148625;699.5217111;681.3932449;723.9532916;780.9203184;843.8896524;913.5143104;956.0395032;1027.55735;1086.79335;1063.203191;1089.578813;1069.634596;1089.040764;1096.129383;1080.815325;1111.509544;1084.179401;1020.174872;1084.651831;1098.488909;1127.218998;1168.89919;1225.042304;1276.802138;1336.3414
17766;Paraguay;PRY;569.5127394;592.9515741;596.5027534;608.2116052;617.1544618;637.9518398;633.4429278;673.0849069;685.0661012;698.8029282;719.1308059;740.4826667;770.7739986;807.5277681;854.377446;890.7675123;934.1237353;1015.301392;1108.138557;1206.677633;1311.045028;1390.792877;1331.653143;1253.353893;1251.097439;1270.125239;1295.568552;1355.162139;1396.319562;1453.447129;1474.040613;1486.839472;1474.66601;1510.151987;1553.067828;1620.977705;1609.659132;1641.334291;1607.413117;1552.295926;1485.216505;1443.060679;1414.072222;1446.35996;1476.213435;1479.403778;1522.006637;1575.577466;1646.017051;1553.003641;1725.7948;1769.675861;1717.887096;1929.09484
17881;Peru;PER;1855.983158;1936.505045;2038.392034;2053.808225;2126.977383;2168.968729;2285.336887;2305.911517;2250.350854;2271.46113;2337.7463;2368.257908;2369.089331;2427.841455;2579.824543;2594.985355;2574.288925;2515.296826;2455.617685;2530.527327;2646.358027;2724.440866;2653.102089;2321.171655;2349.453846;2343.349706;2506.709798;2689.807043;2383.153773;2045.645016;1903.871572;1907.458801;1860.607927;1921.510595;2118.579231;2234.925304;2257.247427;2362.349508;2314.171886;2311.654763;2338.456984;2319.690578;2413.479582;2482.107366;2573.756759;2704.002294;2875.694802;3087.862122;3335.197474;3334.237794;3575.409732;3760.856554;3935.089585;4109.596136
21331;Suriname;SUR;;;;;;;;;;;;;;;;3829.933797;3704.551639;4080.296663;4383.899162;4109.222037;3884.838161;3883.89403;3792.534602;3659.652116;3492.035634;3393.365274;3230.854148;2730.513671;2919.993503;3186.91762;3120.566394;3159.842322;3109.673771;2845.839655;2899.693617;2892.417697;2889.768626;3014.344144;3020.022202;2952.766854;2909.936404;2999.72073;3084.477563;3224.4047;3476.253539;3590.541042;3686.699136;3835.309737;3955.944106;4037.552114;4207.062877;4388.522625;4480.125739;4568.685095
